overall_game_rank_diff,overall_game_win_rate_diff,overall_series_win_rate_diff,head_to_head_game_win_rate_diff,head_to_head_series_win_rate_diff,latest_series_win_rate_diff,latest_game_win_rate_diff,upper_game_win_rate_diff,lower_game_win_rate_diff,win
-1,4.53,0.0,60.0,100.0,-14.28,11.84,-10.0,-100.0,1
1,-4.53,0.0,-60.0,-100.0,14.28,-11.84,10.0,100.0,0
-2,13.39,21.43,60.0,100.0,28.57,17.65,22.5,-100.0,1
2,-13.39,-21.43,-60.0,-100.0,-28.57,-17.65,-22.5,100.0,0
3,-16.3,-21.43,0.0,0.0,-42.85,-35.56,23.81,-66.67,0
-3,16.3,21.43,-0.0,-0.0,42.85,35.56,-23.81,66.67,1
-4,11.11,14.29,-20.0,0.0,-14.29,-9.87,0.0,-100.0,1
4,-11.11,-14.29,20.0,-0.0,14.29,9.87,0.0,100.0,0
-3,12.32,21.43,0.0,0.0,28.57,18.89,19.64,-60.0,1
3,-12.32,-21.43,-0.0,-0.0,-28.57,-18.89,-19.64,60.0,0
-1,10.83,14.28,0.0,0.0,28.57,15.0,11.12,-75.0,1
1,-10.83,-14.28,-0.0,-0.0,-28.57,-15.0,-11.12,75.0,0
-5,19.84,35.71,33.34,100.0,71.42,37.22,0.0,-100.0,1
5,-19.84,-35.71,-33.34,-100.0,-71.42,-37.22,0.0,100.0,0
1,-12.04,-7.14,0.0,0.0,28.57,11.81,12.5,-60.0,0
-1,12.04,7.14,-0.0,-0.0,-28.57,-11.81,-12.5,60.0,1
-1,11.94,18.75,20.0,0.0,57.14,29.41,-5.36,-100.0,1
1,-11.94,-18.75,-20.0,-0.0,-57.14,-29.41,5.36,100.0,0
2,-5.87,-12.5,-33.34,-100.0,-28.57,-16.67,10.0,-100.0,1
-2,5.87,12.5,33.34,100.0,28.57,16.67,-10.0,100.0,0
-1,-0.9,6.25,0.0,0.0,28.57,13.4,-12.5,-100.0,1
1,0.9,-6.25,-0.0,-0.0,-28.57,-13.4,12.5,100.0,0
