overall_rank_diff,overall_series_win_diff,overall_series_loss_diff,overall_game_win_diff,overall_game_loss_diff,head_to_head_game_win,head_to_head_game_loss,head_to_head_series_win,head_to_head_series_loss,latest_game_win_diff,latest_game_loss_diff,latest_series_win_diff,latest_series_loss_diff,playoff_h2h_win,playoff_h2h_loss,playoff_upper_bracket_win_diff,playoff_lower_bracket_win_diff,is_grand_final,win
-2,1,-1,3,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0
2,-1,1,-3,0,0,4,0,2,-1,0,0,0,0,0,0,0,0,1
-2,4,-4,5,-3,2,3,1,1,5,-3,4,-4,0,0,0,0,0,1
2,-4,4,-5,3,3,2,1,1,-5,3,-4,4,0,0,0,0,0,0
-5,5,-5,9,-7,4,0,2,0,7,-6,4,-4,0,0,0,0,0,1
5,-5,5,-9,7,0,4,0,2,-7,6,-4,4,0,0,0,0,0,0
-1,0,0,1,-2,4,1,2,0,0,-3,-1,1,0,0,0,0,0,1
1,0,0,-1,2,1,4,0,2,0,3,1,-1,0,0,0,0,0,0
3,-4,4,-7,1,2,4,0,2,-7,3,-4,4,0,0,0,0,0,0
-3,4,-4,7,-1,4,2,2,0,7,-3,4,-4,0,0,0,0,0,1
-1,1,-1,1,-4,4,1,2,0,0,0,1,-1,0,0,0,0,0,1
1,-1,1,-1,4,1,4,0,2,0,0,-1,1,0,0,0,0,0,0
-1,1,-1,-1,-1,4,2,2,0,1,0,1,-1,0,0,0,0,0,0
1,-1,1,1,1,2,4,0,2,-1,0,-1,1,0,0,0,0,0,1
-3,4,-4,3,-8,3,3,1,1,1,-3,1,-1,0,0,0,0,0,1
3,-4,4,-3,8,3,3,1,1,-1,3,-1,1,0,0,0,0,0,0
-3,5,-5,5,-11,4,1,2,0,2,-5,2,-2,0,0,0,0,0,1
3,-5,5,-5,11,1,4,0,2,-2,5,-2,2,0,0,0,0,0,0
-2,2,-2,2,-5,2,2,1,1,-1,-2,0,0,0,0,0,0,0,0
2,-2,2,-2,5,2,2,1,1,1,2,0,0,0,0,0,0,0,1
4,-5,5,-5,11,1,4,0,2,-2,5,-2,2,0,0,0,0,0,1
-4,5,-5,5,-11,4,1,2,0,2,-5,2,-2,0,0,0,0,0,0
-1,2,-2,2,-5,2,2,1,1,-1,-2,0,0,0,0,0,0,0,1
1,-2,2,-2,5,2,2,1,1,1,2,0,0,0,0,0,0,0,0
3,-3,3,-6,4,0,4,0,2,-1,0,-1,1,0,0,0,0,0,0
-3,3,-3,6,-4,4,0,2,0,1,0,1,-1,0,0,0,0,0,1
-1,1,-1,2,-1,3,3,1,1,-1,3,-1,1,0,0,0,0,0,1
1,-1,1,-2,1,3,3,1,1,1,-3,1,-1,0,0,0,0,0,0
-1,0,0,1,-1,3,2,1,1,6,-6,3,-3,0,0,0,0,0,1
1,0,0,-1,1,2,3,1,1,-6,6,-3,3,0,0,0,0,0,0
-3,3,-3,5,-6,3,3,1,1,4,-7,3,-3,0,0,0,0,0,0
3,-3,3,-5,6,3,3,1,1,-4,7,-3,3,0,0,0,0,0,1
2,-1,1,-3,2,1,4,0,2,-4,5,-2,2,0,0,0,0,0,0
-2,1,-1,3,-2,4,1,2,0,4,-5,2,-2,0,0,0,0,0,1
-2,2,-2,3,-5,2,2,1,1,6,-8,4,-4,0,0,0,0,0,1
2,-2,2,-3,5,2,2,1,1,-6,8,-4,4,0,0,0,0,0,0
-3,2,-2,3,-5,3,2,1,1,3,-3,1,-1,0,0,0,0,0,0
3,-2,2,-3,5,2,3,1,1,-3,3,-1,1,0,0,0,0,0,1
-1,2,-2,3,2,2,2,1,1,5,-4,3,-3,0,0,0,0,0,1
1,-2,2,-3,-2,2,2,1,1,-5,4,-3,3,0,0,0,0,0,0
-4,2,-2,5,-3,2,3,1,1,0,3,-1,1,0,0,0,0,0,1
4,-2,2,-5,3,3,2,1,1,0,-3,1,-1,0,0,0,0,0,0
-3,2,-2,3,-6,4,1,2,0,-1,0,0,0,0,0,0,0,0,0
3,-2,2,-3,6,1,4,0,2,1,0,0,0,0,0,0,0,0,1
5,-4,4,-5,7,3,2,1,1,0,0,0,0,0,0,0,0,0,1
-5,4,-4,5,-7,2,3,1,1,0,0,0,0,0,0,0,0,0,0
-2,0,0,3,-2,2,4,0,2,-1,3,-1,1,0,0,0,0,0,0
2,0,0,-3,2,4,2,2,0,1,-3,1,-1,0,0,0,0,0,1
-3,4,-4,5,-5,2,3,1,1,-1,1,0,0,0,0,0,0,0,1
3,-4,4,-5,5,3,2,1,1,1,-1,0,0,0,0,0,0,0,0
-1,1,-1,0,-3,4,1,2,0,-2,-1,0,0,0,0,0,0,0,1
1,-1,1,0,3,1,4,0,2,2,1,0,0,0,0,0,0,0,0
-1,0,0,1,-5,2,2,1,1,4,-4,2,-2,0,0,0,0,0,1
1,0,0,-1,5,2,2,1,1,-4,4,-2,2,0,0,0,0,0,0
-3,3,-3,6,-3,2,2,1,1,5,-2,2,-2,0,0,0,0,0,1
3,-3,3,-6,3,2,2,1,1,-5,2,-2,2,0,0,0,0,0,0
-1,2,-2,3,0,4,1,2,0,-1,2,-1,1,0,0,0,0,0,0
1,-2,2,-3,0,1,4,0,2,1,-2,1,-1,0,0,0,0,0,1
1,-1,1,-2,-2,2,4,0,2,-2,0,-1,1,0,0,0,0,0,1
-1,1,-1,2,2,4,2,2,0,2,0,1,-1,0,0,0,0,0,0
-3,3,-3,6,-7,4,1,2,0,2,-2,1,-1,0,0,0,0,0,1
3,-3,3,-6,7,1,4,0,2,-2,2,-1,1,0,0,0,0,0,0
-1,2,-2,1,0,4,2,2,0,0,-1,1,-1,0,0,0,0,0,1
1,-2,2,-1,0,2,4,0,2,0,1,-1,1,0,0,0,0,0,0
-1,2,-2,2,-4,2,2,1,1,3,-2,2,-2,0,0,0,0,0,1
1,-2,2,-2,4,2,2,1,1,-3,2,-2,2,0,0,0,0,0,0
-3,4,-4,7,-9,3,3,1,1,5,-5,3,-3,0,0,0,0,0,1
3,-4,4,-7,9,3,3,1,1,-5,5,-3,3,0,0,0,0,0,0
-1,1,-1,2,-5,3,2,1,1,0,-2,0,0,0,0,0,0,0,1
1,-1,1,-2,5,2,3,1,1,0,2,0,0,0,0,0,0,0,0
1,-1,1,-3,0,2,2,1,1,-2,1,-1,1,0,0,0,0,0,0
-1,1,-1,3,0,2,2,1,1,2,-1,1,-1,0,0,0,0,0,1
-3,1,-1,1,-3,3,2,1,1,3,-5,2,-2,0,0,0,0,0,0
3,-1,1,-1,3,2,3,1,1,-3,5,-2,2,0,0,0,0,0,1
-1,1,-1,1,0,4,1,2,0,-1,0,1,-1,0,0,0,0,0,1
1,-1,1,-1,0,1,4,0,2,1,0,-1,1,0,0,0,0,0,0
-4,3,-3,1,-6,2,2,1,1,5,-8,4,-4,0,0,0,0,0,1
4,-3,3,-1,6,2,2,1,1,-5,8,-4,4,0,0,0,0,0,0
-3,4,-4,8,-5,3,2,1,1,3,0,1,-1,0,0,0,0,0,1
3,-4,4,-8,5,2,3,1,1,-3,0,-1,1,0,0,0,0,0,0
2,-1,1,0,2,2,3,1,1,-5,6,-4,4,0,0,0,0,0,1
-2,1,-1,0,-2,3,2,1,1,5,-6,4,-4,0,0,0,0,0,0
1,-2,2,-7,1,2,3,1,1,-3,-2,-1,1,0,0,0,0,0,1
-1,2,-2,7,-1,3,2,1,1,3,2,1,-1,0,0,0,0,0,0
